stimulus,response,subject,condition,experiment
pabiku,1.0070546737213406,6,word,1
tibudo,2.99294532627866,6,word,1
pigola,1.962962962962963,6,part_word,1
tudaro,1.0070546737213406,6,part_word,1
pabiku,3.9171075837742504,40,word,1
tibudo,1.9911816578483248,40,word,1
pigola,4.982363315696649,40,part_word,1
tudaro,2.047619047619047,40,part_word,1
pabiku,2.982363315696649,41,word,1
tibudo,2.0264550264550265,41,word,1
pigola,4.964726631393297,41,part_word,1
tudaro,1.0,41,part_word,1
pabiku,1.0035273368606703,7,word,1
tibudo,1.0,7,word,1
pigola,4.019400352733686,7,part_word,1
tudaro,1.0599647266313932,7,part_word,1
pabiku,4.943562610229277,43,word,1
tibudo,4.019400352733686,43,word,1
pigola,2.858906525573192,43,part_word,1
tudaro,3.2962962962962963,43,part_word,1
pabiku,1.0,5,word,1
tibudo,1.4656084656084656,5,word,1
pigola,3.991181657848324,5,part_word,1
tudaro,1.0388007054673722,5,part_word,1
pabiku,3.00352733686067,4,word,1
tibudo,4.964726631393297,4,word,1
pigola,1.6419753086419755,4,part_word,1
tudaro,4.950617283950617,4,part_word,1
pabiku,1.0,42,word,1
tibudo,1.014109347442681,42,word,1
pigola,1.9911816578483248,42,part_word,1
tudaro,1.0246913580246917,42,part_word,1
pabiku,1.0035273368606703,46,word,1
tibudo,1.1410934744268078,46,word,1
pigola,1.0,46,part_word,1
tudaro,3.0141093474426808,46,part_word,1
pabiku,1.0,52,word,1
tibudo,1.017636684303351,52,word,1
pigola,5.0,52,part_word,1
tudaro,1.0,52,part_word,1
pabiku,1.4761904761904765,1,word,1
tibudo,1.0211640211640212,1,word,1
pigola,1.0,1,part_word,1
tudaro,1.0,1,part_word,1
pabiku,1.0070546737213406,53,word,1
tibudo,1.0246913580246917,53,word,1
pigola,2.0511463844797175,53,part_word,1
tudaro,2.9717813051146384,53,part_word,1
pabiku,1.0,47,word,1
tibudo,1.0,47,word,1
pigola,4.012345679012346,47,part_word,1
tudaro,1.0317460317460316,47,part_word,1
pabiku,4.865961199294532,51,word,1
tibudo,1.014109347442681,51,word,1
pigola,1.014109347442681,51,part_word,1
tudaro,1.014109347442681,51,part_word,1
pabiku,3.0,3,word,1
tibudo,1.507936507936508,3,word,1
pigola,4.326278659611993,3,part_word,1
tudaro,1.0,3,part_word,1
pabiku,2.1463844797178133,45,word,1
tibudo,1.2010582010582012,45,word,1
pigola,1.4479717813051147,45,part_word,1
tudaro,1.0,45,part_word,1
pabiku,1.0,44,word,1
tibudo,1.998236331569665,44,word,1
pigola,1.0246913580246917,44,part_word,1
tudaro,2.9788359788359786,44,part_word,1
pabiku,3.00705467372134,50,word,1
tibudo,4.98941798941799,50,word,1
pigola,2.9858906525573192,50,part_word,1
tudaro,4.982363315696649,50,part_word,1
pabiku,4.583774250440917,2,word,1
tibudo,1.9876543209876545,2,word,1
pigola,2.0017636684303355,2,part_word,1
tudaro,4.950617283950617,2,part_word,1
pabiku,1.0,37,word,1
tibudo,1.0211640211640212,37,word,1
pigola,4.964726631393297,37,part_word,1
tudaro,1.0,37,part_word,1
pabiku,2.005291005291005,23,word,1
tibudo,2.99647266313933,23,word,1
pigola,4.005291005291006,23,part_word,1
tudaro,1.9911816578483248,23,part_word,1
pabiku,1.014109347442681,22,word,1
tibudo,3.0141093474426808,22,word,1
pigola,4.033509700176367,22,part_word,1
tudaro,1.0,22,part_word,1
pabiku,1.0,36,word,1
tibudo,1.0,36,word,1
pigola,4.075837742504409,36,part_word,1
tudaro,1.0423280423280423,36,part_word,1
pabiku,4.996472663139329,20,word,1
tibudo,3.980599647266314,20,word,1
pigola,2.0299823633156966,20,part_word,1
tudaro,4.98941798941799,20,part_word,1
pabiku,1.0,34,word,1
tibudo,1.0,34,word,1
pigola,4.9753086419753085,34,part_word,1
tudaro,5.0,34,part_word,1
pabiku,1.017636684303351,35,word,1
tibudo,1.0458553791887126,35,word,1
pigola,2.0017636684303355,35,part_word,1
tudaro,1.017636684303351,35,part_word,1
pabiku,2.99294532627866,21,word,1
tibudo,4.99294532627866,21,word,1
pigola,2.99647266313933,21,part_word,1
tudaro,3.952380952380953,21,part_word,1
pabiku,1.0282186948853616,25,word,1
tibudo,2.005291005291005,25,word,1
pigola,5.0,25,part_word,1
tudaro,3.998236331569665,25,part_word,1
pabiku,1.998236331569665,31,word,1
tibudo,1.0,31,word,1
pigola,3.920634920634921,31,part_word,1
tudaro,1.0,31,part_word,1
pabiku,1.017636684303351,19,word,1
tibudo,1.0,19,word,1
pigola,2.0229276895943564,19,part_word,1
tudaro,1.0211640211640212,19,part_word,1
pabiku,1.0,18,word,1
tibudo,1.0070546737213406,18,word,1
pigola,1.9347442680776017,18,part_word,1
tudaro,1.0282186948853616,18,part_word,1
pabiku,1.017636684303351,30,word,1
tibudo,1.017636684303351,30,word,1
pigola,1.980599647266314,30,part_word,1
tudaro,1.017636684303351,30,part_word,1
pabiku,1.0,24,word,1
tibudo,1.0211640211640212,24,word,1
pigola,3.945326278659612,24,part_word,1
tudaro,1.984126984126984,24,part_word,1
pabiku,1.0105820105820105,32,word,1
tibudo,3.994708994708995,32,word,1
pigola,3.994708994708995,32,part_word,1
tudaro,1.998236331569665,32,part_word,1
pabiku,1.4973544973544974,26,word,1
tibudo,1.0,26,word,1
pigola,3.631393298059965,26,part_word,1
tudaro,1.0,26,part_word,1
pabiku,1.0246913580246917,27,word,1
tibudo,1.0,27,word,1
pigola,1.966490299823633,27,part_word,1
tudaro,1.0,27,part_word,1
pabiku,1.3985890652557318,33,word,1
tibudo,1.4479717813051147,33,word,1
pigola,1.1798941798941798,33,part_word,1
tudaro,1.3844797178130512,33,part_word,1
pabiku,1.0,16,word,1
tibudo,1.0,16,word,1
pigola,1.9347442680776017,16,part_word,1
tudaro,1.0,16,part_word,1
pabiku,2.015873015873016,17,word,1
tibudo,3.994708994708995,17,word,1
pigola,3.017636684303351,17,part_word,1
tudaro,5.0,17,part_word,1
pabiku,1.0,29,word,1
tibudo,1.0,29,word,1
pigola,3.9876543209876543,29,part_word,1
tudaro,1.0,29,part_word,1
pabiku,4.98941798941799,15,word,1
tibudo,5.0,15,word,1
pigola,1.0070546737213406,15,part_word,1
tudaro,4.978835978835979,15,part_word,1
pabiku,2.1604938271604937,14,word,1
tibudo,1.0,14,word,1
pigola,3.6596119929453264,14,part_word,1
tudaro,1.0211640211640212,14,part_word,1
pabiku,2.9365079365079367,28,word,1
tibudo,2.925925925925926,28,word,1
pigola,4.181657848324515,28,part_word,1
tudaro,1.056437389770723,28,part_word,1
pabiku,4.99294532627866,10,word,1
tibudo,2.9541446208112876,10,word,1
pigola,1.0246913580246917,10,part_word,1
tudaro,5.0,10,part_word,1
pabiku,1.0,38,word,1
tibudo,1.0246913580246917,38,word,1
pigola,1.613756613756614,38,part_word,1
tudaro,1.0,38,part_word,1
pabiku,1.014109347442681,39,word,1
tibudo,1.0,39,word,1
pigola,1.529100529100529,39,part_word,1
tudaro,1.0211640211640212,39,part_word,1
pabiku,1.966490299823633,11,word,1
tibudo,1.0,11,word,1
pigola,4.98941798941799,11,part_word,1
tudaro,2.0123456790123457,11,part_word,1
pabiku,1.0035273368606703,13,word,1
tibudo,1.0070546737213406,13,word,1
pigola,1.0246913580246917,13,part_word,1
tudaro,2.834215167548501,13,part_word,1
pabiku,1.0,12,word,1
tibudo,1.9523809523809523,12,word,1
pigola,4.029982363315696,12,part_word,1
tudaro,1.0,12,part_word,1
pabiku,1.0,49,word,1
tibudo,1.0,49,word,1
pigola,1.9770723104056436,49,part_word,1
tudaro,1.0317460317460316,49,part_word,1
pabiku,1.433862433862434,48,word,1
tibudo,1.250440917107584,48,word,1
pigola,4.915343915343915,48,part_word,1
tudaro,2.255731922398589,48,part_word,1
pabiku,1.017636684303351,9,word,1
tibudo,1.0,9,word,1
pigola,2.9894179894179893,9,part_word,1
tudaro,4.985890652557319,9,part_word,1
pabiku,1.0070546737213406,8,word,1
tibudo,3.9029982363315696,8,word,1
pigola,1.5149911816578483,8,part_word,1
tudaro,1.0,8,part_word,1
bogaki,1.0,6,word,2
tupidu,1.0,6,part_word,2
gogebi,1.0,6,part_word,2
guloba,2.0299823633156966,6,word,2
bogaki,1.0,40,word,2
tupidu,1.0458553791887126,40,part_word,2
guloba,1.0317460317460316,40,word,2
gogebi,1.0,40,part_word,2
gogebi,1.0,41,part_word,2
tupidu,1.90652557319224,41,part_word,2
guloba,1.1022927689594355,41,word,2
bogaki,5.0,41,word,2
gogebi,1.0070546737213406,7,part_word,2
guloba,1.0070546737213406,7,word,2
bogaki,1.6102292768959436,7,word,2
tupidu,1.0,7,part_word,2
gogebi,5.0,43,part_word,2
guloba,1.0,43,word,2
tupidu,1.0035273368606703,43,part_word,2
bogaki,1.0,43,word,2
gogebi,4.9717813051146384,5,part_word,2
bogaki,4.985890652557319,5,word,2
tupidu,4.058201058201059,5,part_word,2
guloba,3.5890652557319225,5,word,2
gogebi,2.0229276895943564,4,part_word,2
tupidu,2.9858906525573192,4,part_word,2
bogaki,2.0793650793650795,4,word,2
guloba,3.1904761904761907,4,word,2
bogaki,1.9735449735449735,42,word,2
gogebi,1.0,42,part_word,2
tupidu,1.0,42,part_word,2
guloba,1.3597883597883598,42,word,2
gogebi,1.0,46,part_word,2
bogaki,2.005291005291005,46,word,2
tupidu,1.0458553791887126,46,part_word,2
guloba,3.0352733686067017,46,word,2
gogebi,1.0,52,part_word,2
bogaki,1.0035273368606703,52,word,2
tupidu,1.9876543209876545,52,part_word,2
guloba,1.9700176366843036,52,word,2
bogaki,4.99294532627866,1,word,2
guloba,2.037037037037037,1,word,2
tupidu,4.99294532627866,1,part_word,2
gogebi,1.0070546737213406,1,part_word,2
bogaki,5.0,53,word,2
gogebi,1.0599647266313932,53,part_word,2
guloba,1.0599647266313932,53,word,2
tupidu,1.9947089947089949,53,part_word,2
gogebi,1.0,47,part_word,2
tupidu,4.022927689594356,47,part_word,2
bogaki,1.0,47,word,2
guloba,4.98941798941799,47,word,2
gogebi,1.0,51,part_word,2
guloba,1.962962962962963,51,word,2
tupidu,1.017636684303351,51,part_word,2
bogaki,1.0035273368606703,51,word,2
tupidu,1.0,3,part_word,2
bogaki,1.017636684303351,3,word,2
guloba,3.0105820105820107,3,word,2
gogebi,1.014109347442681,3,part_word,2
guloba,5.0,45,word,2
bogaki,4.9717813051146384,45,word,2
tupidu,1.959435626102293,45,part_word,2
gogebi,1.0,45,part_word,2
guloba,3.994708994708995,44,word,2
tupidu,5.0,44,part_word,2
bogaki,5.0,44,word,2
gogebi,2.940035273368607,44,part_word,2
bogaki,1.0,50,word,2
gogebi,1.0,50,part_word,2
guloba,1.0,50,word,2
tupidu,2.3474426807760143,50,part_word,2
bogaki,1.0,2,word,2
guloba,1.0035273368606703,2,word,2
gogebi,1.0776014109347445,2,part_word,2
