,tp,condition,model_num,ae_mse,word,epochs,exp,model_type,optim,lr
0,1.0,word,0,0.08290355,pa-bi-ku,0,1,onehot,sgd,0.1
1,1.0,word,0,0.08175144,ti-bu-do,0,1,onehot,sgd,0.1
2,0.75,part-word,0,0.07976034,tu-da-ro,0,1,onehot,sgd,0.1
3,0.752808988764045,part-word,0,0.081534386,pi-go-la,0,1,onehot,sgd,0.1
0,1.0,word,0,0.0831705,pa-bi-ku,0,1,onehot,sgd,0.01
1,1.0,word,0,0.08197078,ti-bu-do,0,1,onehot,sgd,0.01
2,0.75,part-word,0,0.08020836,tu-da-ro,0,1,onehot,sgd,0.01
3,0.752808988764045,part-word,0,0.08204639,pi-go-la,0,1,onehot,sgd,0.01
0,1.0,word,0,0.083197944,pa-bi-ku,0,1,onehot,sgd,0.001
1,1.0,word,0,0.08199347,ti-bu-do,0,1,onehot,sgd,0.001
2,0.75,part-word,0,0.080253914,tu-da-ro,0,1,onehot,sgd,0.001
3,0.752808988764045,part-word,0,0.08209833,pi-go-la,0,1,onehot,sgd,0.001
0,1.0,word,0,0.08320069,pa-bi-ku,0,1,onehot,sgd,0.0001
1,1.0,word,0,0.08199575,ti-bu-do,0,1,onehot,sgd,0.0001
2,0.75,part-word,0,0.080258474,tu-da-ro,0,1,onehot,sgd,0.0001
3,0.752808988764045,part-word,0,0.08210353,pi-go-la,0,1,onehot,sgd,0.0001
0,1.0,word,0,0.083200976,pa-bi-ku,0,1,onehot,sgd,1e-05
1,1.0,word,0,0.08199597,ti-bu-do,0,1,onehot,sgd,1e-05
2,0.75,part-word,0,0.080258936,tu-da-ro,0,1,onehot,sgd,1e-05
3,0.752808988764045,part-word,0,0.08210405,pi-go-la,0,1,onehot,sgd,1e-05
0,1.0,word,0,612435.0,pa-bi-ku,0,1,onehot,adam,0.1
1,1.0,word,0,611059.1,ti-bu-do,0,1,onehot,adam,0.1
2,0.75,part-word,0,609612.06,tu-da-ro,0,1,onehot,adam,0.1
3,0.752808988764045,part-word,0,613603.9,pi-go-la,0,1,onehot,adam,0.1
0,1.0,word,0,0.16773382,pa-bi-ku,0,1,onehot,adam,0.01
1,1.0,word,0,0.17505795,ti-bu-do,0,1,onehot,adam,0.01
2,0.75,part-word,0,0.15693033,tu-da-ro,0,1,onehot,adam,0.01
3,0.752808988764045,part-word,0,0.148616,pi-go-la,0,1,onehot,adam,0.01
0,1.0,word,0,0.08039045,pa-bi-ku,0,1,onehot,adam,0.001
1,1.0,word,0,0.08021979,ti-bu-do,0,1,onehot,adam,0.001
2,0.75,part-word,0,0.07650101,tu-da-ro,0,1,onehot,adam,0.001
3,0.752808988764045,part-word,0,0.07711311,pi-go-la,0,1,onehot,adam,0.001
0,1.0,word,0,0.082851164,pa-bi-ku,0,1,onehot,adam,0.0001
1,1.0,word,0,0.08173806,ti-bu-do,0,1,onehot,adam,0.0001
2,0.75,part-word,0,0.07979192,tu-da-ro,0,1,onehot,adam,0.0001
3,0.752808988764045,part-word,0,0.081510976,pi-go-la,0,1,onehot,adam,0.0001
0,1.0,word,0,0.08316511,pa-bi-ku,0,1,onehot,adam,1e-05
1,1.0,word,0,0.081969365,ti-bu-do,0,1,onehot,adam,1e-05
2,0.75,part-word,0,0.08021164,tu-da-ro,0,1,onehot,adam,1e-05
3,0.752808988764045,part-word,0,0.082044005,pi-go-la,0,1,onehot,adam,1e-05
0,1.0,word,0,869824.1,pa-bi-ku,0,1,onehot,adagrad,0.1
1,1.0,word,0,895322.75,ti-bu-do,0,1,onehot,adagrad,0.1
2,0.75,part-word,0,893317.1,tu-da-ro,0,1,onehot,adagrad,0.1
3,0.752808988764045,part-word,0,871059.0,pi-go-la,0,1,onehot,adagrad,0.1
0,1.0,word,0,0.16822611,pa-bi-ku,0,1,onehot,adagrad,0.01
1,1.0,word,0,0.17556486,ti-bu-do,0,1,onehot,adagrad,0.01
2,0.75,part-word,0,0.15740173,tu-da-ro,0,1,onehot,adagrad,0.01
3,0.752808988764045,part-word,0,0.14903826,pi-go-la,0,1,onehot,adagrad,0.01
0,1.0,word,0,0.08039363,pa-bi-ku,0,1,onehot,adagrad,0.001
1,1.0,word,0,0.080219105,ti-bu-do,0,1,onehot,adagrad,0.001
2,0.75,part-word,0,0.07650049,tu-da-ro,0,1,onehot,adagrad,0.001
3,0.752808988764045,part-word,0,0.07710831,pi-go-la,0,1,onehot,adagrad,0.001
0,1.0,word,0,0.082851365,pa-bi-ku,0,1,onehot,adagrad,0.0001
1,1.0,word,0,0.081737936,ti-bu-do,0,1,onehot,adagrad,0.0001
2,0.75,part-word,0,0.079791784,tu-da-ro,0,1,onehot,adagrad,0.0001
3,0.752808988764045,part-word,0,0.081510544,pi-go-la,0,1,onehot,adagrad,0.0001
0,1.0,word,0,0.08316514,pa-bi-ku,0,1,onehot,adagrad,1e-05
1,1.0,word,0,0.08196935,ti-bu-do,0,1,onehot,adagrad,1e-05
2,0.75,part-word,0,0.08021163,tu-da-ro,0,1,onehot,adagrad,1e-05
3,0.752808988764045,part-word,0,0.08204396,pi-go-la,0,1,onehot,adagrad,1e-05
0,1.0,word,0,3.1449517e+21,pa-bi-ku,0,1,onehot,RMSprop,0.1
1,1.0,word,0,3.327617e+21,ti-bu-do,0,1,onehot,RMSprop,0.1
2,0.75,part-word,0,3.5732165e+21,tu-da-ro,0,1,onehot,RMSprop,0.1
3,0.752808988764045,part-word,0,3.2413842e+21,pi-go-la,0,1,onehot,RMSprop,0.1
0,1.0,word,0,591669.1,pa-bi-ku,0,1,onehot,RMSprop,0.01
1,1.0,word,0,591863.1,ti-bu-do,0,1,onehot,RMSprop,0.01
2,0.75,part-word,0,591989.9,tu-da-ro,0,1,onehot,RMSprop,0.01
3,0.752808988764045,part-word,0,591668.75,pi-go-la,0,1,onehot,RMSprop,0.01
0,1.0,word,0,0.16651157,pa-bi-ku,0,1,onehot,RMSprop,0.001
1,1.0,word,0,0.17377275,ti-bu-do,0,1,onehot,RMSprop,0.001
2,0.75,part-word,0,0.1556541,tu-da-ro,0,1,onehot,RMSprop,0.001
3,0.752808988764045,part-word,0,0.14748457,pi-go-la,0,1,onehot,RMSprop,0.001
0,1.0,word,0,0.08038913,pa-bi-ku,0,1,onehot,RMSprop,0.0001
1,1.0,word,0,0.08021857,ti-bu-do,0,1,onehot,RMSprop,0.0001
2,0.75,part-word,0,0.07649976,tu-da-ro,0,1,onehot,RMSprop,0.0001
3,0.752808988764045,part-word,0,0.07712443,pi-go-la,0,1,onehot,RMSprop,0.0001
0,1.0,word,0,0.082851246,pa-bi-ku,0,1,onehot,RMSprop,1e-05
1,1.0,word,0,0.08173813,ti-bu-do,0,1,onehot,RMSprop,1e-05
2,0.75,part-word,0,0.07979195,tu-da-ro,0,1,onehot,RMSprop,1e-05
3,0.752808988764045,part-word,0,0.08151224,pi-go-la,0,1,onehot,RMSprop,1e-05
0,1.0,word,0,0.08263199,pa-bi-ku,1,1,onehot,sgd,0.1
1,1.0,word,0,0.08153069,ti-bu-do,1,1,onehot,sgd,0.1
2,0.75,part-word,0,0.07929315,tu-da-ro,1,1,onehot,sgd,0.1
3,0.752808988764045,part-word,0,0.08099959,pi-go-la,1,1,onehot,sgd,0.1
0,1.0,word,0,0.08314028,pa-bi-ku,1,1,onehot,sgd,0.01
1,1.0,word,0,0.08194582,ti-bu-do,1,1,onehot,sgd,0.01
2,0.75,part-word,0,0.08015808,tu-da-ro,1,1,onehot,sgd,0.01
3,0.752808988764045,part-word,0,0.08198902,pi-go-la,1,1,onehot,sgd,0.01
