,tp,condition,model_num,ae_mse,word,epochs,exp,model_type
0,1.0,word,0,0.13625908,pa-bi-ku,1,1,phon
1,1.0,word,0,0.15544868,ti-bu-do,1,1,phon
2,0.75,part-word,0,0.14798585,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,0,0.1380265,pi-go-la,1,1,phon
0,1.0,word,1,0.13560677,pa-bi-ku,1,1,phon
1,1.0,word,1,0.15351382,ti-bu-do,1,1,phon
2,0.75,part-word,1,0.14311677,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,1,0.13383098,pi-go-la,1,1,phon
0,1.0,word,2,0.13333642,pa-bi-ku,1,1,phon
1,1.0,word,2,0.15264629,ti-bu-do,1,1,phon
2,0.75,part-word,2,0.1476188,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,2,0.1357753,pi-go-la,1,1,phon
0,1.0,word,3,0.12990311,pa-bi-ku,1,1,phon
1,1.0,word,3,0.15004489,ti-bu-do,1,1,phon
2,0.75,part-word,3,0.14089282,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,3,0.12992068,pi-go-la,1,1,phon
0,1.0,word,4,0.12899393,pa-bi-ku,1,1,phon
1,1.0,word,4,0.14709944,ti-bu-do,1,1,phon
2,0.75,part-word,4,0.13781416,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,4,0.12951618,pi-go-la,1,1,phon
0,1.0,word,5,0.1306519,pa-bi-ku,1,1,phon
1,1.0,word,5,0.14758396,ti-bu-do,1,1,phon
2,0.75,part-word,5,0.13893697,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,5,0.12890835,pi-go-la,1,1,phon
0,1.0,word,6,0.13139084,pa-bi-ku,1,1,phon
1,1.0,word,6,0.15139827,ti-bu-do,1,1,phon
2,0.75,part-word,6,0.14432979,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,6,0.13242468,pi-go-la,1,1,phon
0,1.0,word,7,0.13438302,pa-bi-ku,1,1,phon
1,1.0,word,7,0.15083954,ti-bu-do,1,1,phon
2,0.75,part-word,7,0.14285168,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,7,0.13375019,pi-go-la,1,1,phon
0,1.0,word,8,0.13415064,pa-bi-ku,1,1,phon
1,1.0,word,8,0.15405181,ti-bu-do,1,1,phon
2,0.75,part-word,8,0.1418192,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,8,0.13420978,pi-go-la,1,1,phon
0,1.0,word,9,0.13003035,pa-bi-ku,1,1,phon
1,1.0,word,9,0.1523824,ti-bu-do,1,1,phon
2,0.75,part-word,9,0.14322107,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,9,0.13329464,pi-go-la,1,1,phon
0,1.0,word,10,0.1299238,pa-bi-ku,1,1,phon
1,1.0,word,10,0.1493631,ti-bu-do,1,1,phon
2,0.75,part-word,10,0.14095414,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,10,0.13021544,pi-go-la,1,1,phon
0,1.0,word,11,0.13390222,pa-bi-ku,1,1,phon
1,1.0,word,11,0.15341753,ti-bu-do,1,1,phon
2,0.75,part-word,11,0.14304222,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,11,0.13278013,pi-go-la,1,1,phon
0,1.0,word,12,0.1395303,pa-bi-ku,1,1,phon
1,1.0,word,12,0.15553494,ti-bu-do,1,1,phon
2,0.75,part-word,12,0.1457556,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,12,0.1376527,pi-go-la,1,1,phon
0,1.0,word,13,0.13400756,pa-bi-ku,1,1,phon
1,1.0,word,13,0.15164015,ti-bu-do,1,1,phon
2,0.75,part-word,13,0.14101554,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,13,0.1336492,pi-go-la,1,1,phon
0,1.0,word,14,0.13624425,pa-bi-ku,1,1,phon
1,1.0,word,14,0.1539588,ti-bu-do,1,1,phon
2,0.75,part-word,14,0.145411,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,14,0.13486753,pi-go-la,1,1,phon
0,1.0,word,15,0.13444942,pa-bi-ku,1,1,phon
1,1.0,word,15,0.1568119,ti-bu-do,1,1,phon
2,0.75,part-word,15,0.14437942,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,15,0.13315766,pi-go-la,1,1,phon
0,1.0,word,16,0.1361492,pa-bi-ku,1,1,phon
1,1.0,word,16,0.15459396,ti-bu-do,1,1,phon
2,0.75,part-word,16,0.14432408,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,16,0.1352539,pi-go-la,1,1,phon
0,1.0,word,17,0.13536206,pa-bi-ku,1,1,phon
1,1.0,word,17,0.15544699,ti-bu-do,1,1,phon
2,0.75,part-word,17,0.14660974,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,17,0.13792464,pi-go-la,1,1,phon
0,1.0,word,18,0.13620295,pa-bi-ku,1,1,phon
1,1.0,word,18,0.15423223,ti-bu-do,1,1,phon
2,0.75,part-word,18,0.1431144,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,18,0.1333636,pi-go-la,1,1,phon
0,1.0,word,19,0.13362426,pa-bi-ku,1,1,phon
1,1.0,word,19,0.15756784,ti-bu-do,1,1,phon
2,0.75,part-word,19,0.1477389,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,19,0.13692996,pi-go-la,1,1,phon
0,1.0,word,20,0.13581516,pa-bi-ku,1,1,phon
1,1.0,word,20,0.1550407,ti-bu-do,1,1,phon
2,0.75,part-word,20,0.14632526,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,20,0.13640554,pi-go-la,1,1,phon
0,1.0,word,21,0.13238461,pa-bi-ku,1,1,phon
1,1.0,word,21,0.15503626,ti-bu-do,1,1,phon
2,0.75,part-word,21,0.1455051,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,21,0.13529944,pi-go-la,1,1,phon
0,1.0,word,22,0.14031461,pa-bi-ku,1,1,phon
1,1.0,word,22,0.1566545,ti-bu-do,1,1,phon
2,0.75,part-word,22,0.1454318,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,22,0.1373962,pi-go-la,1,1,phon
0,1.0,word,23,0.13230029,pa-bi-ku,1,1,phon
1,1.0,word,23,0.15034294,ti-bu-do,1,1,phon
2,0.75,part-word,23,0.14099121,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,23,0.12964183,pi-go-la,1,1,phon
0,1.0,word,24,0.14102143,pa-bi-ku,1,1,phon
1,1.0,word,24,0.15875155,ti-bu-do,1,1,phon
2,0.75,part-word,24,0.14664689,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,24,0.13627186,pi-go-la,1,1,phon
0,1.0,word,25,0.13394311,pa-bi-ku,1,1,phon
1,1.0,word,25,0.15393776,ti-bu-do,1,1,phon
2,0.75,part-word,25,0.14371903,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,25,0.13435897,pi-go-la,1,1,phon
0,1.0,word,26,0.13425718,pa-bi-ku,1,1,phon
1,1.0,word,26,0.15532805,ti-bu-do,1,1,phon
2,0.75,part-word,26,0.14536741,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,26,0.13486987,pi-go-la,1,1,phon
0,1.0,word,27,0.1329655,pa-bi-ku,1,1,phon
1,1.0,word,27,0.15051568,ti-bu-do,1,1,phon
2,0.75,part-word,27,0.14444691,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,27,0.13603131,pi-go-la,1,1,phon
0,1.0,word,28,0.12807366,pa-bi-ku,1,1,phon
1,1.0,word,28,0.1490967,ti-bu-do,1,1,phon
2,0.75,part-word,28,0.14375356,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,28,0.13268754,pi-go-la,1,1,phon
0,1.0,word,29,0.1367718,pa-bi-ku,1,1,phon
1,1.0,word,29,0.15643293,ti-bu-do,1,1,phon
2,0.75,part-word,29,0.14384373,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,29,0.1347866,pi-go-la,1,1,phon
0,1.0,word,30,0.13558923,pa-bi-ku,1,1,phon
1,1.0,word,30,0.15336503,ti-bu-do,1,1,phon
2,0.75,part-word,30,0.14477937,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,30,0.13598019,pi-go-la,1,1,phon
0,1.0,word,31,0.13261418,pa-bi-ku,1,1,phon
1,1.0,word,31,0.15094787,ti-bu-do,1,1,phon
2,0.75,part-word,31,0.14208558,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,31,0.13326128,pi-go-la,1,1,phon
0,1.0,word,32,0.13164622,pa-bi-ku,1,1,phon
1,1.0,word,32,0.1487669,ti-bu-do,1,1,phon
2,0.75,part-word,32,0.14130403,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,32,0.13091923,pi-go-la,1,1,phon
0,1.0,word,33,0.13457257,pa-bi-ku,1,1,phon
1,1.0,word,33,0.15058258,ti-bu-do,1,1,phon
2,0.75,part-word,33,0.14490923,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,33,0.1342507,pi-go-la,1,1,phon
0,1.0,word,34,0.13442755,pa-bi-ku,1,1,phon
1,1.0,word,34,0.15156117,ti-bu-do,1,1,phon
2,0.75,part-word,34,0.14267927,tu-da-ro,1,1,phon
3,0.752808988764045,part-word,34,0.13331534,pi-go-la,1,1,phon
0,1.0,word,35,0.13478348,pa-bi-ku,1,1,phon
1,1.0,word,35,0.15205434,ti-bu-do,1,1,phon
