,syll,next_syll,size,emp_tp,tp,next_vec,rec,mse,eucl,familiar,pair,n_data,n_model
0,ba,ba,12.0,0.09022556390977443,0.08333333333333333,[0 1 0 0 0 0 0 0 0 0 0 0],"[ 6.0207099e-02  9.0078682e-02 -2.0066649e-04 -2.0795502e-04
  1.5765169e-01  8.2417205e-04 -9.0447813e-04 -3.0018389e-05
 -4.5358017e-04  6.3153499e-01  5.9802450e-02  3.7629902e-04]",0.1049042055629691,1.121985056386951,1,ba_ba,0,0
1,ba,bu,84.0,0.631578947368421,0.5,[0 0 0 0 0 0 0 0 0 1 0 0],"[ 6.0207099e-02  9.0078682e-02 -2.0066649e-04 -2.0795502e-04
  1.5765169e-01  8.2417205e-04 -9.0447813e-04 -3.0018389e-05
 -4.5358017e-04  6.3153499e-01  5.9802450e-02  3.7629902e-04]",0.014661486906111304,0.419449452107564,1,ba_bu,0,0
2,ba,bu,84.0,0.631578947368421,0.08333333333333333,[0 0 0 0 0 0 0 0 0 1 0 0],"[ 6.0207099e-02  9.0078682e-02 -2.0066649e-04 -2.0795502e-04
  1.5765169e-01  8.2417205e-04 -9.0447813e-04 -3.0018389e-05
 -4.5358017e-04  6.3153499e-01  5.9802450e-02  3.7629902e-04]",0.014661486906111304,0.419449452107564,1,ba_bu,0,0
3,ba,pa,8.0,0.06015037593984962,0.08333333333333333,[1 0 0 0 0 0 0 0 0 0 0 0],"[ 6.0207099e-02  9.0078682e-02 -2.0066649e-04 -2.0795502e-04
  1.5765169e-01  8.2417205e-04 -9.0447813e-04 -3.0018389e-05
 -4.5358017e-04  6.3153499e-01  5.9802450e-02  3.7629902e-04]",0.10988280272712315,1.148300323402148,1,ba_pa,0,0
4,ba,pi,21.0,0.15789473684210525,0.08333333333333333,[0 0 0 0 1 0 0 0 0 0 0 0],"[ 6.0207099e-02  9.0078682e-02 -2.0066649e-04 -2.0795502e-04
  1.5765169e-01  8.2417205e-04 -9.0447813e-04 -3.0018389e-05
 -4.5358017e-04  6.3153499e-01  5.9802450e-02  3.7629902e-04]",0.09364203707605606,1.0600492653233966,1,ba_pi,0,0
5,ba,tu,8.0,0.06015037593984962,0.08333333333333333,[0 0 0 0 0 0 0 0 0 0 1 0],"[ 6.0207099e-02  9.0078682e-02 -2.0066649e-04 -2.0795502e-04
  1.5765169e-01  8.2417205e-04 -9.0447813e-04 -3.0018389e-05
 -4.5358017e-04  6.3153499e-01  5.9802450e-02  3.7629902e-04]",0.10995024414092308,1.1486526584181473,1,ba_tu,0,0
6,bi,ba,14.0,0.18666666666666668,0.2,[0 1 0 0 0 0 0 0 0 0 0 0],"[ 9.6730888e-04  1.8694851e-01  4.2540953e-04 -4.7685206e-04
  1.9993539e-01  8.5077435e-04  1.2330711e-05  9.9979341e-05
 -1.2501962e-03  9.2964277e-02  2.6801193e-01  2.5354379e-01]",0.0704823113357991,0.9196671876443071,1,bi_ba,0,0
7,bi,bu,7.0,0.09333333333333334,0.2,[0 0 0 0 0 0 0 0 0 1 0 0],"[ 9.6730888e-04  1.8694851e-01  4.2540953e-04 -4.7685206e-04
  1.9993539e-01  8.5077435e-04  1.2330711e-05  9.9979341e-05
 -1.2501962e-03  9.2964277e-02  2.6801193e-01  2.5354379e-01]",0.08614634989460013,1.0167380187320634,1,bi_bu,0,0
8,bi,du,19.0,0.25333333333333335,0.2,[0 0 0 0 0 0 0 0 0 0 0 1],"[ 9.6730888e-04  1.8694851e-01  4.2540953e-04 -4.7685206e-04
  1.9993539e-01  8.5077435e-04  1.2330711e-05  9.9979341e-05
 -1.2501962e-03  9.2964277e-02  2.6801193e-01  2.5354379e-01]",0.05938309698064825,0.8441547036934516,1,bi_du,0,0
9,bi,pi,15.0,0.2,0.2,[0 0 0 0 1 0 0 0 0 0 0 0],"[ 9.6730888e-04  1.8694851e-01  4.2540953e-04 -4.7685206e-04
  1.9993539e-01  8.5077435e-04  1.2330711e-05  9.9979341e-05
 -1.2501962e-03  9.2964277e-02  2.6801193e-01  2.5354379e-01]",0.06831783074895244,0.905435789544145,1,bi_pi,0,0
10,bi,tu,20.0,0.26666666666666666,0.2,[0 0 0 0 0 0 0 0 0 0 1 0],"[ 9.6730888e-04  1.8694851e-01  4.2540953e-04 -4.7685206e-04
  1.9993539e-01  8.5077435e-04  1.2330711e-05  9.9979341e-05
 -1.2501962e-03  9.2964277e-02  2.6801193e-01  2.5354379e-01]",0.05697174140572251,0.8268378903199043,1,bi_tu,0,0
11,bu,ba,26.0,0.0931899641577061,0.041666666666666664,[0 1 0 0 0 0 0 0 0 0 0 0],"[ 3.5135740e-01  9.3191698e-02  1.3940036e-05  9.2815608e-06
  5.7391189e-02  6.8120658e-05 -3.5315752e-05 -7.4349344e-05
  2.4011511e-01  1.0041340e-01  5.3742707e-02  1.0404338e-01]",0.08587487476086954,1.015134718710002,1,bu_ba,0,0
12,bu,ba,26.0,0.0931899641577061,0.041666666666666664,[0 1 0 0 0 0 0 0 0 0 0 0],"[ 3.5135740e-01  9.3191698e-02  1.3940036e-05  9.2815608e-06
  5.7391189e-02  6.8120658e-05 -3.5315752e-05 -7.4349344e-05
  2.4011511e-01  1.0041340e-01  5.3742707e-02  1.0404338e-01]",0.08587487476086954,1.015134718710002,1,bu_ba,0,0
13,bu,bu,28.0,0.1003584229390681,0.041666666666666664,[0 0 0 0 0 0 0 0 0 1 0 0],"[ 3.5135740e-01  9.3191698e-02  1.3940036e-05  9.2815608e-06
  5.7391189e-02  6.8120658e-05 -3.5315752e-05 -7.4349344e-05
  2.4011511e-01  1.0041340e-01  5.3742707e-02  1.0404338e-01]",0.08467125830070515,1.007995585113577,1,bu_bu,0,0
14,bu,bu,28.0,0.1003584229390681,0.041666666666666664,[0 0 0 0 0 0 0 0 0 1 0 0],"[ 3.5135740e-01  9.3191698e-02  1.3940036e-05  9.2815608e-06
  5.7391189e-02  6.8120658e-05 -3.5315752e-05 -7.4349344e-05
  2.4011511e-01  1.0041340e-01  5.3742707e-02  1.0404338e-01]",0.08467125830070515,1.007995585113577,1,bu_bu,0,0
15,bu,du,29.0,0.1039426523297491,0.041666666666666664,[0 0 0 0 0 0 0 0 0 0 0 1],"[ 3.5135740e-01  9.3191698e-02  1.3940036e-05  9.2815608e-06
  5.7391189e-02  6.8120658e-05 -3.5315752e-05 -7.4349344e-05
  2.4011511e-01  1.0041340e-01  5.3742707e-02  1.0404338e-01]",0.08406626122212747,1.0043879403226275,1,bu_du,0,0
16,bu,du,29.0,0.1039426523297491,0.041666666666666664,[0 0 0 0 0 0 0 0 0 0 0 1],"[ 3.5135740e-01  9.3191698e-02  1.3940036e-05  9.2815608e-06
  5.7391189e-02  6.8120658e-05 -3.5315752e-05 -7.4349344e-05
  2.4011511e-01  1.0041340e-01  5.3742707e-02  1.0404338e-01]",0.08406626122212747,1.0043879403226275,1,bu_du,0,0
17,bu,pa,98.0,0.35125448028673834,0.25,[1 0 0 0 0 0 0 0 0 0 0 0],"[ 3.5135740e-01  9.3191698e-02  1.3940036e-05  9.2815608e-06
  5.7391189e-02  6.8120658e-05 -3.5315752e-05 -7.4349344e-05
  2.4011511e-01  1.0041340e-01  5.3742707e-02  1.0404338e-01]",0.04284725772357325,0.7170544558699005,1,bu_pa,0,0
18,bu,pa,98.0,0.35125448028673834,0.041666666666666664,[1 0 0 0 0 0 0 0 0 0 0 0],"[ 3.5135740e-01  9.3191698e-02  1.3940036e-05  9.2815608e-06
  5.7391189e-02  6.8120658e-05 -3.5315752e-05 -7.4349344e-05
  2.4011511e-01  1.0041340e-01  5.3742707e-02  1.0404338e-01]",0.04284725772357325,0.7170544558699005,1,bu_pa,0,0
19,bu,pa,98.0,0.35125448028673834,0.041666666666666664,[1 0 0 0 0 0 0 0 0 0 0 0],"[ 3.5135740e-01  9.3191698e-02  1.3940036e-05  9.2815608e-06
  5.7391189e-02  6.8120658e-05 -3.5315752e-05 -7.4349344e-05
  2.4011511e-01  1.0041340e-01  5.3742707e-02  1.0404338e-01]",0.04284725772357325,0.7170544558699005,1,bu_pa,0,0
20,bu,pi,16.0,0.05734767025089606,0.041666666666666664,[0 0 0 0 1 0 0 0 0 0 0 0],"[ 3.5135740e-01  9.3191698e-02  1.3940036e-05  9.2815608e-06
  5.7391189e-02  6.8120658e-05 -3.5315752e-05 -7.4349344e-05
  2.4011511e-01  1.0041340e-01  5.3742707e-02  1.0404338e-01]",0.09184162628666896,1.0498092757448982,1,bu_pi,0,0
21,bu,pu,67.0,0.24014336917562723,0.25,[0 0 0 0 0 0 0 0 1 0 0 0],"[ 3.5135740e-01  9.3191698e-02  1.3940036e-05  9.2815608e-06
  5.7391189e-02  6.8120658e-05 -3.5315752e-05 -7.4349344e-05
  2.4011511e-01  1.0041340e-01  5.3742707e-02  1.0404338e-01]",0.061387640108827156,0.8582841495133916,1,bu_pu,0,0
22,bu,tu,15.0,0.053763440860215055,0.041666666666666664,[0 0 0 0 0 0 0 0 0 0 1 0],"[ 3.5135740e-01  9.3191698e-02  1.3940036e-05  9.2815608e-06
  5.7391189e-02  6.8120658e-05 -3.5315752e-05 -7.4349344e-05
  2.4011511e-01  1.0041340e-01  5.3742707e-02  1.0404338e-01]",0.09244970666385034,1.053278918409651,1,bu_tu,0,0
23,da,ba,15.0,0.1079136690647482,0.08333333333333333,[0 1 0 0 0 0 0 0 0 0 0 0],"[ 1.0754560e-01  1.0698712e-01 -1.8158555e-04 -2.8696097e-04
  7.8349188e-02  1.2926795e-03 -1.2945160e-03  3.7372857e-04
 -1.6584024e-03  5.3554356e-01  1.0615829e-01  5.7934657e-02]",0.09305132677704377,1.0567004879929438,1,da_ba,0,0
24,da,bu,75.0,0.539568345323741,0.5,[0 0 0 0 0 0 0 0 0 1 0 0],"[ 1.0754560e-01  1.0698712e-01 -1.8158555e-04 -2.8696097e-04
  7.8349188e-02  1.2926795e-03 -1.2945160e-03  3.7372857e-04
 -1.6584024e-03  5.3554356e-01  1.0615829e-01  5.7934657e-02]",0.02162525306692008,0.5094144057670935,1,da_bu,0,0
